State,Type,County,Violent crime,Property crime
ILLINOIS,Metro,McLean,42.00,206.00
ILLINOIS,Metro,Mercer,26.00,152.00
ILLINOIS,Metro,Peoria,180.00,743.00
ILLINOIS,Metro,Piatt,22.00,121.00
ILLINOIS,Metro,Rock Island,51.00,313.00
ILLINOIS,Metro,Sangamon,170.00,944.00
ILLINOIS,Metro,Stark,11.00,72.00
ILLINOIS,Metro,St. Clair,85.00,1050.00
ILLINOIS,Metro,Tazewell,1.00,243.00
ILLINOIS,Metro,Vermilion,69.00,487.00
ILLINOIS,Metro,Winnebago,120.00,1200.00
ILLINOIS,Metro,Woodford,4.00,141.00
ILLINOIS,Non-Metro,Adams,22.00,223.00
ILLINOIS,Non-Metro,Bureau,15.00,221.00
ILLINOIS,Non-Metro,Cass,2.00,64.00
ILLINOIS,Non-Metro,Christian,72.00,148.00
ILLINOIS,Non-Metro,Clark,3.00,72.00
ILLINOIS,Non-Metro,Clay,4.00,64.00
ILLINOIS,Non-Metro,Coles,5.00,105.00
ILLINOIS,Non-Metro,Crawford,1.00,59.00
ILLINOIS,Non-Metro,Douglas,13.00,28.00
ILLINOIS,Non-Metro,Edgar,26.00,65.00
ILLINOIS,Non-Metro,Effingham,9.00,166.00
ILLINOIS,Non-Metro,Franklin,12.00,283.00
ILLINOIS,Non-Metro,Fulton,8.00,133.00
ILLINOIS,Non-Metro,Gallatin,3.00,66.00
ILLINOIS,Non-Metro,Iroquois,5.00,150.00
ILLINOIS,Non-Metro,Jackson,47.00,336.00
ILLINOIS,Non-Metro,Jefferson,52.00,339.00
ILLINOIS,Non-Metro,Johnson,23.00,105.00
ILLINOIS,Non-Metro,La Salle,32.00,400.00
ILLINOIS,Non-Metro,Lawrence,15.00,24.00
ILLINOIS,Non-Metro,Livingston,15.00,278.00
ILLINOIS,Non-Metro,Marion,18.00,277.00
ILLINOIS,Non-Metro,Mason,20.00,132.00
ILLINOIS,Non-Metro,Massac,9.00,146.00
ILLINOIS,Non-Metro,McDonough,6.00,91.00
ILLINOIS,Non-Metro,Montgomery,108.00,153.00
ILLINOIS,Non-Metro,Morgan,10.00,112.00
ILLINOIS,Non-Metro,Moultrie,8.00,54.00
