State,Type,County,Violent crime,Murder and non-negligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
FLORIDA,Metro,Santa Rosa,222,6,33,17,166,"1,598",508,"1,024",66,7
FLORIDA,Metro,Sarasota,697,3,39,140,515,"7,714","2,182","5,249",283,10
FLORIDA,Metro,Seminole,585,4,31,77,473,"3,361",868,"2,330",163,7
FLORIDA,Metro,St. Johns,494,7,9,57,421,"3,603",847,"2,608",148,13
FLORIDA,Metro,St. Lucie,257,6,28,42,181,"1,743",570,"1,087",86,2
FLORIDA,Metro,Volusia,931,11,72,99,749,"5,335","1,765","3,184",386,36
FLORIDA,Metro,Wakulla,86,0,10,5,71,679,138,516,25,11
FLORIDA,Non-Metro,Bradford,62,1,6,6,49,344,160,176,8,1
FLORIDA,Non-Metro,Calhoun,12,0,1,1,10,68,20,48,0,0
FLORIDA,Non-Metro,Citrus,452,7,26,49,370,"3,203",884,"2,191",128,25
FLORIDA,Non-Metro,Columbia,186,0,24,13,149,"1,275",386,827,62,0
FLORIDA,Non-Metro,DeSoto,172,0,5,14,153,811,317,467,27,2
FLORIDA,Non-Metro,Dixie,69,1,10,4,54,524,226,270,28,3
FLORIDA,Non-Metro,Franklin,96,1,13,1,81,145,31,103,11,1
FLORIDA,Non-Metro,Glades,39,1,4,1,33,245,107,120,18,1
FLORIDA,Non-Metro,Gulf,34,1,0,0,33,125,44,77,4,0
FLORIDA,Non-Metro,Hamilton,52,1,4,9,38,211,73,129,9,2
FLORIDA,Non-Metro,Hardee,57,0,12,14,31,527,192,307,28,0
FLORIDA,Non-Metro,Hendry,212,3,8,35,166,"1,130",656,435,39,14
FLORIDA,Non-Metro,Highlands,149,5,9,20,115,"1,736",562,"1,115",59,3
FLORIDA,Non-Metro,Holmes,56,1,6,1,48,203,66,120,17,0
FLORIDA,Non-Metro,Jackson,204,1,19,18,166,771,206,537,28,4
FLORIDA,Non-Metro,Lafayette,20,0,0,2,18,39,11,28,0,0
FLORIDA,Non-Metro,Levy,123,0,10,11,102,922,343,527,52,3
FLORIDA,Non-Metro,Liberty,16,0,0,0,16,56,18,32,6,0
FLORIDA,Non-Metro,Madison,123,1,5,9,108,306,125,163,18,1
FLORIDA,Non-Metro,Monroe,152,5,8,19,120,"2,037",524,"1,448",65,4
FLORIDA,Non-Metro,Okeechobee,193,2,14,26,151,976,490,460,26,1
FLORIDA,Non-Metro,Putnam,537,1,35,68,433,"2,653","1,316","1,254",83,7
FLORIDA,Non-Metro,Sumter,144,3,23,9,109,654,221,398,35,1
FLORIDA,Non-Metro,Suwannee,118,4,4,6,104,553,201,306,46,5
FLORIDA,Non-Metro,Taylor,50,2,3,0,45,167,89,72,6,1
FLORIDA,Non-Metro,Union,55,0,2,1,52,142,73,66,3,0
FLORIDA,Non-Metro,Walton,158,2,9,8,139,"1,145",374,702,69,4
FLORIDA,Non-Metro,Washington,9,3,0,0,6,241,97,132,12,0
GEORGIA,Metro,Augusta-Richmond,"1,084",36,127,648,273,"14,303","4,222","8,530","1,551",63
GEORGIA,Metro,Barrow,214,4,7,5,198,"1,170",264,820,86,8
GEORGIA,Metro,Bartow,224,1,23,34,166,"2,470",740,"1,515",215,0
GEORGIA,Metro,Bibb,231,3,13,45,170,"2,520",674,"1,598",248,0
GEORGIA,Metro,Brantley,32,0,4,4,24,284,194,90,0,
GEORGIA,Metro,Brooks,43,0,0,0,43,302,113,153,36,6
GEORGIA,Metro,Bryan,17,0,0,5,12,353,112,229,12,0
GEORGIA,Metro,Burke,156,0,0,0,156,682,235,423,24,
GEORGIA,Metro,Butts,36,1,8,5,22,550,126,376,48,3
GEORGIA,Metro,Carroll,362,0,9,10,343,"1,457",480,847,130,11
GEORGIA,Metro,Catoosa,71,0,9,3,59,"1,047",218,706,123,2
GEORGIA,Metro,Chatham,0,0,0,0,0,0,0,0,0,0
GEORGIA,Metro,Cherokee,133,1,12,26,94,"2,010",525,"1,367",118,5
GEORGIA,Metro,Clarke,0,0,0,0,0,1,0,1,0,0
GEORGIA,Metro,Clayton,0,0,0,0,0,0,0,0,0,0
GEORGIA,Metro,Clayton,"1,031",12,74,434,511,"9,418","4,266","3,849","1,303",33
GEORGIA,Metro,Cobb,1,0,0,0,1,0,0,0,0,
GEORGIA,Metro,Columbia,72,1,10,15,46,"2,323",376,"1,860",87,9
GEORGIA,Metro,Coweta,91,1,19,14,57,"1,436",497,845,94,6
GEORGIA,Metro,Crawford,33,1,4,1,27,459,141,277,41,
GEORGIA,Metro,Dade,37,1,4,0,32,200,49,124,27,0
GEORGIA,Metro,Dawson,18,0,0,0,18,478,98,344,36,2
GEORGIA,Metro,DeKalb,0,0,0,0,0,0,0,0,0,0
GEORGIA,Metro,DeKalb,"3,469",80,155,"1,927","1,307","29,924","9,612","15,739","4,573",114
GEORGIA,Metro,Douglas,153,4,10,30,109,"2,108",585,"1,352",171,5
GEORGIA,Metro,Echols,8,1,1,1,5,45,26,18,1,0
GEORGIA,Metro,Effingham,57,1,29,9,18,297,201,66,30,2
GEORGIA,Metro,Fayette,31,0,6,7,18,555,182,333,40,0
GEORGIA,Metro,Floyd,34,0,0,1,33,24,14,10,0,
GEORGIA,Metro,Floyd,180,2,5,9,164,"1,315",368,861,86,8
GEORGIA,Metro,Forsyth,202,0,13,14,175,"1,801",469,"1,252",80,
GEORGIA,Metro,Fulton,9,0,0,1,8,13,1,11,1,0
GEORGIA,Metro,Fulton,668,9,43,307,309,"5,544","1,815","2,919",810,11
GEORGIA,Metro,Glynn,0,0,0,0,0,0,0,0,0,0
GEORGIA,Metro,Glynn,253,2,12,61,178,"3,033",750,"2,199",84,2
GEORGIA,Metro,Gwinnett,"1,675",20,176,726,753,"16,909","5,370","10,082","1,457",85
GEORGIA,Metro,Hall,187,3,19,45,120,"2,603",774,"1,602",227,15
GEORGIA,Metro,Haralson,111,0,3,6,102,397,96,278,23,
GEORGIA,Metro,Harris,8,0,2,2,4,407,16,380,11,
GEORGIA,Metro,Heard,18,0,1,1,16,172,57,94,21,
GEORGIA,Metro,Henry,304,6,27,96,175,"4,174","1,256","2,535",383,17
GEORGIA,Metro,Jasper,15,0,2,3,10,229,87,138,4,0
GEORGIA,Metro,Jones,35,0,0,3,32,533,143,327,63,1
GEORGIA,Metro,Lanier,8,0,4,0,4,99,23,72,4,0
GEORGIA,Metro,Lee,14,1,0,2,11,528,168,322,38,0
GEORGIA,Metro,Liberty,74,1,2,11,60,431,171,230,30,
GEORGIA,Metro,Lowndes,37,0,4,9,24,941,279,591,71,
GEORGIA,Metro,Madison,159,1,1,9,148,723,207,450,66,7
GEORGIA,Metro,McDuffie,23,4,1,4,14,248,76,156,16,0
GEORGIA,Metro,McIntosh,48,2,2,11,33,461,167,256,38,7
GEORGIA,Metro,Meriwether,24,0,2,2,20,430,123,257,50,0
GEORGIA,Metro,Murray,38,0,5,2,31,759,153,543,63,0
GEORGIA,Metro,Muscogee,0,0,0,0,0,0,0,0,0,0
GEORGIA,Metro,Newton,335,2,13,33,287,"1,775",649,931,195,
GEORGIA,Metro,Oconee,99,0,1,6,92,531,122,375,34,0
GEORGIA,Metro,Oglethorpe,50,2,5,2,41,520,147,345,28,1
GEORGIA,Metro,Paulding,152,0,16,12,124,"2,418",617,"1,616",185,18
GEORGIA,Metro,Pickens,27,1,5,1,20,409,103,289,17,
