County,State,Value
Clark County,Missouri,-3.70
McLean County,North Dakota,-3.70
Stutsman County,North Dakota,-3.70
Lawrence County,Pennsylvania,-3.70
Barnwell County,South Carolina,-3.70
McCook County,South Dakota,-3.70
Coleman County,Texas,-3.70
Nolan County,Texas,-3.70
Orange County,Texas,-3.70
Langlade County,Wisconsin,-3.70
Howard County,Arkansas,-3.60
Edwards County,Illinois,-3.60
Whiteside County,Illinois,-3.60
Pawnee County,Kansas,-3.60
Scott County,Kansas,-3.60
Dunklin County,Missouri,-3.60
Washington County,North Carolina,-3.60
McCurtain County,Oklahoma,-3.60
Baker County,Oregon,-3.60
Lyman County,South Dakota,-3.60
Marion County,Texas,-3.60
Denali Borough,Alaska,-3.50
Rio Grande County,Colorado,-3.50
Delaware County,Iowa,-3.50
Floyd County,Iowa,-3.50
Guthrie County,Iowa,-3.50
Webster County,Kentucky,-3.50
Berrien County,Michigan,-3.50
Houston County,Minnesota,-3.50
Hill County,Montana,-3.50
Chautauqua County,New York,-3.50
Monroe County,Ohio,-3.50
San Patricio County,Texas,-3.50
Charlottesville city,Virginia,-3.50
Boone County,West Virginia,-3.50
Kanawha County,West Virginia,-3.50
Crawford County,Wisconsin,-3.50
Little River County,Arkansas,-3.40
Cook County,Illinois,-3.40
Macon County,Illinois,-3.40
Vermillion County,Indiana,-3.40
Thomas County,Kansas,-3.40
Amite County,Mississippi,-3.40
Red Willow County,Nebraska,-3.40
Henry County,Ohio,-3.40
Richland County,Ohio,-3.40
Potter County,Pennsylvania,-3.40
Roane County,West Virginia,-3.40
Quitman County,Georgia,-3.30
Scott County,Illinois,-3.30
Clay County,Kansas,-3.30
Stevens County,Minnesota,-3.30
Erie County,New York,-3.30
Paulding County,Ohio,-3.30
Seneca County,Ohio,-3.30
Lycoming County,Pennsylvania,-3.30
Matagorda County,Texas,-3.30
Sussex County,Virginia,-3.30
Newton County,Arkansas,-3.20
Perry County,Illinois,-3.20
Washington County,Maine,-3.20
Sanilac County,Michigan,-3.20
Thurston County,Nebraska,-3.20
Kay County,Oklahoma,-3.20
Carroll County,Tennessee,-3.20
Haskell County,Texas,-3.20
Fayette County,West Virginia,-3.20
Lewis County,West Virginia,-3.20
Crawford County,Illinois,-3.10
Fulton County,Illinois,-3.10
Mercer County,Illinois,-3.10
Wayne County,Indiana,-3.10
Van Buren County,Iowa,-3.10
Colfax County,New Mexico,-3.10
Torrance County,New Mexico,-3.10
Erie County,Ohio,-3.10
Van Wert County,Ohio,-3.10
Union County,South Carolina,-3.10
Corson County,South Dakota,-3.10
Jefferson County,Illinois,-3.00
Coffey County,Kansas,-3.00
Morris County,Kansas,-3.00
Letcher County,Kentucky,-3.00
Pipestone County,Minnesota,-3.00
Scott County,Missouri,-3.00
Gage County,Nebraska,-3.00
Hamilton County,Nebraska,-3.00
Wallowa County,Oregon,-3.00
Mercer County,Pennsylvania,-3.00
Newport County,Rhode Island,-3.00
Deuel County,South Dakota,-3.00
Hardeman County,Tennessee,-3.00
Mitchell County,Texas,-3.00
Dickenson County,Virginia,-3.00
Halifax County,Virginia,-3.00
Lincoln County,Wisconsin,-3.00
Washington County,Alabama,-2.90
Morgan County,Illinois,-2.90
Washington County,Illinois,-2.90
Butler County,Iowa,-2.90
Clayton County,Iowa,-2.90
Neosho County,Kansas,-2.90
Livingston County,Kentucky,-2.90
Barnstable County,Massachusetts,-2.90
Lowndes County,Mississippi,-2.90
Yalobusha County,Mississippi,-2.90
Orleans County,New York,-2.90
Wyoming County,New York,-2.90
Lucas County,Ohio,-2.90
Somerset County,Pennsylvania,-2.90
Abbeville County,South Carolina,-2.90
Logan County,Illinois,-2.80
Carroll County,Iowa,-2.80
Aroostook County,Maine,-2.80
Berkshire County,Massachusetts,-2.80
Scotland County,Missouri,-2.80
Bowman County,North Dakota,-2.80
Jones County,Texas,-2.80
Rutland County,Vermont,-2.80
Alpine County,California,-2.70
Jenkins County,Georgia,-2.70
Union County,Illinois,-2.70
Vermilion County,Illinois,-2.70
Decatur County,Iowa,-2.70
Monroe County,Mississippi,-2.70
Lewis County,Missouri,-2.70
Chester County,South Carolina,-2.70
Castro County,Texas,-2.70
Wirt County,West Virginia,-2.70
Marquette County,Wisconsin,-2.70
Macoupin County,Illinois,-2.60
Stephenson County,Illinois,-2.60
Howard County,Indiana,-2.60
Pulaski County,Indiana,-2.60
Alger County,Michigan,-2.60
Chouteau County,Montana,-2.60
Fergus County,Montana,-2.60
Wayne County,Nebraska,-2.60
Bon Homme County,South Dakota,-2.60
Smyth County,Virginia,-2.60
Logan County,West Virginia,-2.60
Lincoln County,Arkansas,-2.50
Clear Creek County,Colorado,-2.50
Huntington County,Indiana,-2.50
Jay County,Indiana,-2.50
White County,Indiana,-2.50
Osage County,Kansas,-2.50
Butler County,Kentucky,-2.50
Lawrence County,Mississippi,-2.50
Chase County,Nebraska,-2.50
Chemung County,New York,-2.50
Mercer County,North Dakota,-2.50
Harney County,Oregon,-2.50
Dimmit County,Texas,-2.50
Mathews County,Virginia,-2.50
Tucker County,West Virginia,-2.50
Meriwether County,Georgia,-2.40
Allamakee County,Iowa,-2.40
Genesee County,Michigan,-2.40
San Miguel County,New Mexico,-2.40
Cayuga County,New York,-2.40
Charles Mix County,South Dakota,-2.40
Essex County,Vermont,-2.40
Clay County,Alabama,-2.30
Kodiak Island Borough,Alaska,-2.30
Clark County,Arkansas,-2.30
Jackson County,Arkansas,-2.30
Washington County,Colorado,-2.30
Johnson County,Illinois,-2.30
Shelby County,Illinois,-2.30
Wayne County,Illinois,-2.30
Green County,Kentucky,-2.30
Perry County,Kentucky,-2.30
Franklin Parish,Louisiana,-2.30
Rio Arriba County,New Mexico,-2.30
Washington County,Ohio,-2.30
Woods County,Oklahoma,-2.30
Gilliam County,Oregon,-2.30
Clay County,Texas,-2.30
Ward County,Texas,-2.30
Newton County,Indiana,-2.20
Jackson County,Iowa,-2.20
Montgomery County,Kansas,-2.20
Bay County,Michigan,-2.20
Hinds County,Mississippi,-2.20
Wayne County,Mississippi,-2.20
Jones County,North Carolina,-2.20
Jackson County,Texas,-2.20
Butler County,Alabama,-2.10
Knox County,Indiana,-2.10
Clinton County,Iowa,-2.10
Owsley County,Kentucky,-2.10
Pope County,Minnesota,-2.10
Meagher County,Montana,-2.10
Powell County,Montana,-2.10
Los Alamos County,New Mexico,-2.10
Clearfield County,Pennsylvania,-2.10
Oneida County,Wisconsin,-2.10
Lawrence County,Arkansas,-2.00
Waseca County,Minnesota,-2.00
Allegany County,New York,-2.00
Allen County,Ohio,-2.00
Sullivan County,Pennsylvania,-2.00
