County,State,Value
Swisher County,Texas,-524.00
Mercer County,Illinois,-523.00
Gregory County,South Dakota,-521.00
Roane County,West Virginia,-520.00
Blaine County,Montana,-518.00
Washington County,Alabama,-516.00
Catahoula Parish,Louisiana,-513.00
Howard County,Arkansas,-511.00
Decatur County,Kansas,-511.00
Keith County,Nebraska,-507.00
Sullivan County,Missouri,-505.00
Rooks County,Kansas,-504.00
Lake County,Colorado,-502.00
Warren County,Georgia,-502.00
Harper County,Kansas,-502.00
Turner County,South Dakota,-502.00
Pendleton County,West Virginia,-501.00
Webster County,Kentucky,-499.00
Bee County,Texas,-498.00
Clay County,Nebraska,-497.00
Franklin Parish,Louisiana,-496.00
Washington County,North Carolina,-495.00
Miner County,South Dakota,-495.00
Dickenson County,Virginia,-492.00
Grant County,South Dakota,-491.00
Grant County,Oregon,-490.00
Union County,Illinois,-485.00
Neosho County,Kansas,-485.00
Hardin County,Illinois,-480.00
Cottonwood County,Minnesota,-480.00
Woodson County,Kansas,-479.00
Lake of the Woods County,Minnesota,-477.00
Monroe County,Missouri,-471.00
Wayne County,Mississippi,-469.00
Amite County,Mississippi,-468.00
Dickey County,North Dakota,-468.00
Cabell County,West Virginia,-465.00
Lawrence County,Alabama,-464.00
Defiance County,Ohio,-463.00
Alfalfa County,Oklahoma,-463.00
Little River County,Arkansas,-457.00
Douglas County,South Dakota,-456.00
Adams County,Iowa,-453.00
Butler County,Alabama,-452.00
Clark County,South Dakota,-452.00
Jackson County,Iowa,-448.00
Rawlins County,Kansas,-447.00
Grant County,North Dakota,-447.00
Barber County,Kansas,-446.00
McPherson County,South Dakota,-445.00
Refugio County,Texas,-445.00
Upson County,Georgia,-444.00
Murray County,Minnesota,-440.00
Cheyenne County,Kansas,-439.00
Holt County,Missouri,-439.00
Colfax County,New Mexico,-439.00
Marion County,Alabama,-438.00
Butler County,Iowa,-438.00
Cherry County,Nebraska,-435.00
Mitchell County,Georgia,-434.00
Wilkinson County,Mississippi,-434.00
Ransom County,North Dakota,-433.00
Washington County,Illinois,-432.00
Rio Grande County,Colorado,-431.00
Hall County,Texas,-429.00
Caldwell Parish,Louisiana,-428.00
Marquette County,Wisconsin,-428.00
Wapello County,Iowa,-426.00
Shelby County,Missouri,-426.00
Bear Lake County,Idaho,-425.00
Wayne County,West Virginia,-422.00
Jackson County,Arkansas,-421.00
Cotton County,Oklahoma,-421.00
Jasper County,Illinois,-419.00
Schoolcraft County,Michigan,-418.00
Randolph County,Illinois,-417.00
Osage County,Kansas,-417.00
Sussex County,Virginia,-417.00
Foster County,North Dakota,-416.00
Edwards County,Kansas,-412.00
Pocahontas County,West Virginia,-412.00
McLean County,Kentucky,-407.00
Silver Bow County,Montana,-406.00
Lane County,Kansas,-405.00
Russell County,Kansas,-400.00
Guthrie County,Iowa,-399.00
Cottle County,Texas,-399.00
Decatur County,Georgia,-398.00
Morrill County,Nebraska,-398.00
Cheyenne County,Colorado,-395.00
Marion County,Texas,-395.00
Irwin County,Georgia,-393.00
Luce County,Michigan,-393.00
Kearney County,Nebraska,-393.00
Red Willow County,Nebraska,-393.00
Los Alamos County,New Mexico,-393.00
Wayne County,Illinois,-391.00
Waseca County,Minnesota,-390.00
Sheridan County,North Dakota,-389.00
Lincoln County,West Virginia,-388.00
Valley County,Nebraska,-387.00
Saline County,Missouri,-386.00
Tyler County,West Virginia,-384.00
Sumter County,Georgia,-381.00
Perkins County,South Dakota,-381.00
Brown County,Nebraska,-380.00
Crockett County,Texas,-380.00
Elk County,Kansas,-379.00
Wyandotte County,Kansas,-377.00
Calhoun County,Arkansas,-376.00
McPherson County,Kansas,-374.00
Gove County,Kansas,-373.00
Yalobusha County,Mississippi,-373.00
Teton County,Montana,-372.00
Butler County,Nebraska,-372.00
Eddy County,North Dakota,-372.00
Jasper County,Iowa,-371.00
Fisher County,Texas,-370.00
Sedgwick County,Colorado,-368.00
Baylor County,Texas,-367.00
Howard County,Iowa,-366.00
Furnas County,Nebraska,-365.00
Potter County,South Dakota,-364.00
Harlan County,Nebraska,-363.00
Harmon County,Oklahoma,-361.00
Raleigh County,West Virginia,-361.00
Taliaferro County,Georgia,-360.00
Hickman County,Kentucky,-360.00
Winston County,Alabama,-359.00
Lawrence County,Arkansas,-359.00
Phillips County,Kansas,-359.00
Merrick County,Nebraska,-359.00
Fall River County,South Dakota,-359.00
Lincoln County,Arkansas,-358.00
Traill County,North Dakota,-356.00
