County,State,Value
Edwards County,Illinois,89.10
Fayette County,Illinois,89.30
Ford County,Illinois,90.40
Gallatin County,Illinois,87.50
Jackson County,Illinois,89.40
Jefferson County,Illinois,90.60
Jersey County,Illinois,89.60
Jo Daviess County,Illinois,71.90
Kendall County,Illinois,94.30
LaSalle County,Illinois,90.70
Lawrence County,Illinois,88.40
Logan County,Illinois,91.40
McDonough County,Illinois,90.60
McHenry County,Illinois,94.10
Macoupin County,Illinois,89.80
Mason County,Illinois,85.90
Massac County,Illinois,89.40
Monroe County,Illinois,94.00
Ogle County,Illinois,92.40
Piatt County,Illinois,93.30
Pulaski County,Illinois,83.70
Richland County,Illinois,89.50
Rock Island County,Illinois,93.20
Saline County,Illinois,88.70
Sangamon County,Illinois,92.30
Stephenson County,Illinois,89.90
