County,State,Value
Gilmer County,West Virginia,0.5
Jackson County,West Virginia,0.2
Marion County,West Virginia,0.2
Monongalia County,West Virginia,0.2
Nicholas County,West Virginia,0.2
Preston County,West Virginia,0.2
Summers County,West Virginia,0.3
Webster County,West Virginia,0.1
Adams County,Wisconsin,1
Bayfield County,Wisconsin,9.6
Clark County,Wisconsin,0.5
Door County,Wisconsin,0.6
Dunn County,Wisconsin,0.4
Fond du Lac County,Wisconsin,0.5
Green Lake County,Wisconsin,0.3
Iowa County,Wisconsin,0.2
Jackson County,Wisconsin,6.2
Langlade County,Wisconsin,1
Marquette County,Wisconsin,0.6
Monroe County,Wisconsin,1.1
Polk County,Wisconsin,1
Rusk County,Wisconsin,0.5
Trempealeau County,Wisconsin,0.2
Washington County,Wisconsin,0.3
Wood County,Wisconsin,0.8
Natrona County,Wyoming,1
Platte County,Wyoming,0.4
Sheridan County,Wyoming,1.2
Weston County,Wyoming,1.3
Arecibo Municipio,Puerto Rico,0.4
Morgan County,Utah,0.2
Piute County,Utah,0.3
Salt Lake County,Utah,0.9
Wasatch County,Utah,0.5
Caledonia County,Vermont,0.4
Orleans County,Vermont,0.5
Amelia County,Virginia,0.4
Bath County,Virginia,0.1
Buckingham County,Virginia,0.3
Clarke County,Virginia,0.3
Culpeper County,Virginia,0.4
Floyd County,Virginia,0.1
Goochland County,Virginia,0.2
King William County,Virginia,1.4
Lunenburg County,Virginia,0.3
Madison County,Virginia,0.2
Choctaw County,Alabama,0.1
Clarke County,Alabama,0.4
Cleburne County,Alabama,0.3
Coffee County,Alabama,1.3
Coosa County,Alabama,0.3
Dallas County,Alabama,0.2
Etowah County,Alabama,0.4
Franklin County,Alabama,0.7
Geneva County,Alabama,0.8
Henry County,Alabama,0.3
Jackson County,Alabama,1.4
Lee County,Alabama,0.3
Lowndes County,Alabama,0.2
Macon County,Alabama,0.1
Madison County,Alabama,0.8
Marion County,Alabama,0.3
Marshall County,Alabama,0.8
Montgomery County,Alabama,0.3
Perry County,Alabama,0.2
Pike County,Alabama,0.6
Randolph County,Alabama,0.4
Russell County,Alabama,0.4
Shelby County,Alabama,0.3
Tallapoosa County,Alabama,0.3
Walker County,Alabama,0.4
Wilcox County,Alabama,0.1
Aleutians West Census Area,Alaska,15.4
Bristol Bay Borough,Alaska,33.5
Dillingham Census Area,Alaska,71.6
Juneau City and Borough,Alaska,11.8
Ketchikan Gateway Borough,Alaska,14.2
Matanuska-Susitna Borough,Alaska,5.5
North Slope Borough,Alaska,54.1
Petersburg Census Area,Alaska,16.1
Sitka City and Borough,Alaska,16.8
Woodruff County,Arkansas,0.2
Alpine County,California,20.4
Butte County,California,2
Calaveras County,California,1.5
Barranquitas Municipio,Puerto Rico,0.3
Caguas Municipio,Puerto Rico,0.6
Carolina Municipio,Puerto Rico,0.9
ComerÃ_o Municipi,Puerto Rico,0.6
Florida Municipio,Puerto Rico,0.3
Guaynabo Municipio,Puerto Rico,0.4
Humacao Municipio,Puerto Rico,0.8
Las MarÃ_as Municipi,Puerto Rico,0.4
Maricao Municipio,Puerto Rico,0.4
Naranjito Municipio,Puerto Rico,0.5
Quebradillas Municipio,Puerto Rico,0.1
San Lorenzo Municipio,Puerto Rico,0.8
Toa Alta Municipio,Puerto Rico,0.4
Vega Baja Municipio,Puerto Rico,0.5
Bibb County,Alabama,0.3
Bullock County,Alabama,0.2
Calhoun County,Alabama,0.5
Mendocino County,California,4.9
Modoc County,California,3.8
Mono County,California,2.1
Nevada County,California,1.1
Orange County,California,0.6
Riverside County,California,1.1
San Benito County,California,1.6
San Diego County,California,0.9
San Francisco County,California,0.5
Santa Barbara County,California,1.3
Santa Cruz County,California,0.9
Siskiyou County,California,4
Solano County,California,0.8
Sutter County,California,1.4
Tehama County,California,2.6
Trinity County,California,4.8
Tuolumne County,California,1.9
Yolo County,California,1.1
Adams County,Colorado,1.3
Archuleta County,Colorado,1.9
Baca County,Colorado,1.3
Chaffee County,Colorado,1.1
Conejos County,Colorado,2.2
Delta County,Colorado,1
Dolores County,Colorado,2.9
Elbert County,Colorado,0.7
Fremont County,Colorado,1.7
Kiowa County,Colorado,0.5
Contra Costa County,California,0.6
Del Norte County,California,7.8
El Dorado County,California,1.1
Imperial County,California,1.8
Kern County,California,1.5
Kings County,California,1.7
Madera County,California,2.7
Sabine County,Texas,0.5
Middlesex County,Connecticut,0.2
New London County,Connecticut,0.9
Tolland County,Connecticut,0.2
Sussex County,Delaware,0.8
District of Columbia,District of Columbia,0.3
Baker County,Florida,0.3
Brevard County,Florida,0.4
Broward County,Florida,0.3
Citrus County,Florida,0.3
Collier County,Florida,0.3
Duval County,Florida,0.4
Gilchrist County,Florida,0.5
Glades County,Florida,4.6
Gulf County,Florida,0.4
Hardee County,Florida,0.6
Hendry County,Florida,1.7
Hernando County,Florida,0.4
Lake County,Colorado,1.3
La Plata County,Colorado,5.8
Larimer County,Colorado,0.7
Lincoln County,Colorado,0.9
Mesa County,Colorado,1.1
Moffat County,Colorado,0.9
Morgan County,Colorado,0.8
Ouray County,Colorado,0.4
Pitkin County,Colorado,0.3
Rio Blanco County,Colorado,0.9
Saguache County,Colorado,1.9
San Miguel County,Colorado,0.8
Teller County,Colorado,0.9
Washington County,Colorado,0.1
Polk County,Florida,0.4
St. Johns County,Florida,0.3
St. Lucie County,Florida,0.4
Santa Rosa County,Florida,0.9
Sarasota County,Florida,0.2
Sumter County,Florida,0.4
Union County,Florida,0.4
Volusia County,Florida,0.4
Washington County,Florida,1.3
Appling County,Georgia,0.4
Bacon County,Georgia,0.2
Banks County,Georgia,0.3
Berrien County,Georgia,0.3
Brantley County,Georgia,0.3
Bulloch County,Georgia,0.3
Burke County,Georgia,0.2
Calhoun County,Georgia,0.1
Carroll County,Georgia,0.4
Charlton County,Georgia,0.4
Cherokee County,Georgia,0.4
Clayton County,Georgia,0.4
Coffee County,Georgia,0.3
Coweta County,Georgia,0.3
Crawford County,Georgia,0.5
Dawson County,Georgia,0.4
Dodge County,Georgia,0.3
Dougherty County,Georgia,0.2
Echols County,Georgia,1.8
Effingham County,Georgia,0.3
Elbert County,Georgia,0.2
Evans County,Georgia,0.2
Fannin County,Georgia,0.3
Floyd County,Georgia,0.4
Wrangell City and Borough,Alaska,16.2
Yukon-Koyukuk Census Area,Alaska,71.4
Graham County,Arizona,14.4
Indian River County,Florida,0.3
Jackson County,Florida,0.7
Jefferson County,Florida,0.3
Levy County,Florida,0.4
Madison County,Florida,0.5
Nassau County,Florida,0.4
Okaloosa County,Florida,0.6
Orange County,Florida,0.4
Osceola County,Florida,0.5
Palm Beach County,Florida,0.5
Crittenden County,Arkansas,0.3
Faulkner County,Arkansas,0.6
Franklin County,Arkansas,1
Grant County,Arkansas,0.4
Hempstead County,Arkansas,0.4
Hot Spring County,Arkansas,0.5
Jackson County,Arkansas,0.5
Lafayette County,Arkansas,0.2
Little River County,Arkansas,1.5
Madison County,Arkansas,1.2
Marion County,Arkansas,0.7
Nevada County,Arkansas,0.3
Ouachita County,Arkansas,0.3
Perry County,Arkansas,0.7
Phillips County,Arkansas,0.2
Polk County,Arkansas,1.8
Pope County,Arkansas,0.8
Aleutians East Borough,Alaska,27.9
Saline County,Arkansas,0.5
Scott County,Arkansas,1.9
Sevier County,Arkansas,2.3
Stone County,Arkansas,0.7
Wilkes County,Georgia,0.2
Hawaii County,Hawaii,0.5
Ada County,Idaho,0.7
Adams County,Idaho,1
Bear Lake County,Idaho,0.5
Benewah County,Idaho,8.7
Bingham County,Idaho,6.5
Blaine County,Idaho,0.6
Bonneville County,Idaho,0.8
Butte County,Idaho,0.4
Cassia County,Idaho,0.8
Clearwater County,Idaho,2.2
Franklin County,Idaho,0.4
Greenlee County,Arizona,2.3
Mohave County,Arizona,2.2
Pinal County,Arizona,5.6
Yuma County,Arizona,1.6
Ashley County,Arkansas,0.3
Calhoun County,Arkansas,0.3
Carroll County,Arkansas,0.9
Clay County,Arkansas,0.3
Crawford County,Arkansas,2.2
Boone County,Illinois,0.4
Bureau County,Illinois,0.3
Calhoun County,Illinois,0.2
Clark County,Illinois,0.2
Crawford County,Illinois,0.2
DeKalb County,Illinois,0.3
Douglas County,Illinois,0.2
DuPage County,Illinois,0.3
Edwards County,Illinois,0.1
Fayette County,Illinois,0.2
